id,created_at,updated_at,uuid,ticket_system_id,gender,city,state,company_segment,position,position_level
215,2025-01-08 13:02:06+00,2025-01-08 13:02:06+00,19aa21fd-c54e-44ed-94af-3947a2525e45,7435008,M,Orleans,Santa Catarina,,Desenvolvedor(a) full-stack,Junior
216,2025-01-08 13:42:05+00,2025-06-26 23:47:29.843+00,8fb1ddde-8a28-458a-847b-381e1308a869,8575568,M,Indaiatuba,São Paulo,Outros,"Executivo sênior (C-Level, VP, etc)",Principal
217,2025-01-08 13:42:05+00,2025-07-18 00:23:45.987+00,214692b8-0bed-465c-805b-080962f19a7d,15624217,F,Indaiatuba,São Paulo,Outros,Desenvolvedor(a) full-stack,Pleno
218,2025-01-08 15:41:34+00,2025-07-18 12:22:36.084+00,05f3e323-c028-4420-8f02-4e5b97c58a65,14812696,M,Gaspar,Santa Catarina,,,
219,2025-01-08 15:46:25+00,2025-07-18 01:39:17.789+00,036d2481-9e0b-4eed-a771-8d5adafb13b7,765037,M,Curitiba,Paraná,Outsourcing de desenvolvimento,Desenvolvedor(a) full-stack,Sênior
220,2025-01-08 15:46:26+00,2025-01-08 15:46:26+00,b79e9d61-86ac-45de-94d1-9ebe20f3d0e1,14074007,M,SP,São Paulo,,Staff engineer,Staff
221,2025-01-08 15:46:26+00,2025-06-23 19:51:58.762+00,35ffe627-b041-4296-9730-018fe9e10123,18881196,M,Joinville,Santa Catarina,Indústria de software,Desenvolvedor(a) full-stack,Sênior
222,2025-01-08 15:46:27+00,2025-06-26 21:22:54.881+00,67e709a3-9cdb-4143-b9a1-18a2d85cd802,15823667,M,Blumenau,Santa Catarina,,,
223,2025-01-08 15:46:30+00,2025-06-26 19:31:07.904+00,524da4e5-7475-4c64-8542-9b4e7498b1bf,3869469,F,Curitiba,Paraná,Software house,Desenvolvedor(a) back-end,Pleno
224,2025-01-09 10:47:06+00,2025-07-18 11:32:17.904+00,d3a6a26b-659d-4427-9ca8-1b08a3501c30,14069995,M,Porto Belo,Santa Catarina,,,
225,2025-01-09 11:12:06+00,2025-01-09 11:12:06+00,bb498bdd-4cac-43e3-b9c0-9a699d05d63f,3879964,M,Florianópolis,Santa Catarina,,Desenvolvedor(a) back-end,Junior
226,2025-01-09 11:22:04+00,2025-01-09 11:22:04+00,d9236a40-cfae-43b6-9e7e-cba9976fe557,14488755,M,Florianópolis,Santa Catarina,,,
227,2025-01-09 11:27:01+00,2025-01-09 11:27:01+00,512bef4c-97f3-47d6-a6a9-16e73154a277,14775147,M,Florianópolis,Santa Catarina,,Estudante,Estagiário
228,2025-01-09 11:27:05+00,2025-01-09 11:27:05+00,6a29f622-be3b-4fd9-84ce-caac3d0a4c1c,15023781,M,Florianópolis,Santa Catarina,,Desenvolvedor(a) full-stack,Pleno
229,2025-01-09 11:27:05+00,2025-01-09 11:27:05+00,107ee6f7-f5c4-4266-ae08-49747893f86a,15091844,F,Florianópolis,Santa Catarina,,Engineering manager,Junior
230,2025-01-09 11:27:05+00,2025-07-17 23:31:07.59+00,384c7396-03c3-40a2-b2c0-de9746656a75,18999281,M,Florianópolis,Santa Catarina,,Desenvolvedor(a) full-stack,Sênior
231,2025-01-09 11:32:00+00,2025-01-09 11:32:00+00,c00f3abe-5e9f-4b10-8161-c0236118938a,18999289,F,,,,,
232,2025-01-09 11:32:00+00,2025-01-09 11:32:00+00,2adb79bc-84d5-4f8a-913f-bfaa0b381133,18726437,M,Florianópolis,Santa Catarina,,,Sênior
233,2025-01-09 11:37:01+00,2025-07-16 15:46:48.515+00,f51755aa-6d50-4168-a7b6-68ef90e9e205,14876560,F,Florianópolis,Santa Catarina,,,Sênior
234,2025-01-09 12:57:06+00,2025-01-09 12:57:06+00,5aacc450-4a73-4e0d-849e-085ce316feb1,16256788,M,Florianópolis,Santa Catarina,,"Executivo sênior (C-Level, VP, etc)",Executivo
235,2025-01-09 12:57:06+00,2025-01-09 12:57:06+00,841578a2-1aad-4cae-a3ce-54f18b17e2e4,18999504,M,Florianópolis,Santa Catarina,,Estudante,Junior
236,2025-01-09 13:02:01+00,2025-01-09 13:02:01+00,68db00be-43e2-4bd7-925a-c74672eb5ebc,18999509,O,Araguanã,Tocantins,,Desenvolvedor(a) back-end,Pleno
237,2025-01-09 13:02:01+00,2025-01-09 13:02:01+00,45619fb4-96dd-4551-98a4-45909c29dfa8,18999514,F,Araguanã,Tocantins,,Marketing ou vendas,Junior
238,2025-01-09 13:12:01+00,2025-07-16 19:41:36.068+00,79bd0975-2669-4690-b0c5-25de58a3b29b,6923507,M,Florianópolis,Santa Catarina,,Desenvolvedor(a) full-stack,Junior
239,2025-01-09 13:17:00+00,2025-01-09 13:17:00+00,42773800-15d1-42ae-9d9d-181129cbd8e3,15071681,M,São José,Santa Catarina,,,
240,2025-01-09 13:22:01+00,2025-01-09 13:22:01+00,496c2a2e-0b08-4845-8fc2-6f93d8fed6d5,18999567,M,Florianópolis,Santa Catarina,,,Sênior
241,2025-01-09 13:37:06+00,2025-01-09 13:37:06+00,78e6a28b-a267-4309-b1ba-57e82e4e79ca,18999605,M,,,,Desenvolvedor(a) front-end,Pleno
242,2025-01-09 13:37:06+00,2025-01-09 13:37:06+00,04af5c34-57c7-4c8d-b653-21353e447b81,1967745,F,,,,Designer,Pleno
243,2025-01-09 14:07:06+00,2025-01-09 14:07:06+00,272bc135-2666-4c54-8b80-863e2176b1e2,18999706,F,São José,Santa Catarina,,Outro,
244,2025-01-09 14:22:05+00,2025-01-09 14:22:05+00,4cc6f90a-d940-481b-837e-cad94a1665be,18999771,M,Santo Amaro da Imperatriz,Santa Catarina,,Desenvolvedor(a) full-stack,Pleno
245,2025-01-09 14:27:05+00,2025-01-09 14:27:05+00,b851daf3-a694-437a-8987-5ff6faa3647e,18999778,M,Biguaçu,Santa Catarina,,,
246,2025-01-09 14:37:05+00,2025-01-09 14:37:05+00,9c17cf1e-d5ea-48a7-82a3-249dd076e64c,18999821,M,Florianópolis,Santa Catarina,,,
247,2025-01-09 14:42:05+00,2025-01-09 14:42:05+00,cc27f946-8439-4d5b-99da-02569d04cc82,18999826,M,Florianópolis,Santa Catarina,,,
248,2025-01-09 14:47:00+00,2025-01-09 14:47:00+00,acefd000-a8a6-4993-90f6-44fe901e793c,18999847,M,,,,,
249,2025-01-09 14:52:01+00,2025-01-09 14:52:01+00,4686fa26-bd22-47fd-bc83-5e8ced361616,15964778,M,Florianópolis,Santa Catarina,,,
250,2025-01-09 15:07:05+00,2025-01-09 15:07:05+00,3f4400e5-582c-4ba5-bd88-c2bc157d11e6,18603621,M,Florianópolis,Santa Catarina,,,
251,2025-01-09 15:52:06+00,2025-01-09 15:52:06+00,6103c064-b466-4151-ae56-93d437267ce1,12509464,F,Biguaçu,Santa Catarina,,,
252,2025-01-09 16:07:05+00,2025-01-09 16:07:05+00,459f9064-ceaa-43cc-88d1-cbac2ae0606a,19000164,M,Florianópolis,Santa Catarina,,,Sênior
253,2025-01-09 16:12:04+00,2025-01-09 16:12:04+00,b20392c8-4536-456e-8273-e41a687a5b90,15023921,M,Florianópolis,Santa Catarina,,,
254,2025-01-09 16:12:05+00,2025-01-09 16:12:05+00,15c23f36-8c7f-4cc0-8b92-c4c6877163ee,18716284,M,Florianópolis,Santa Catarina,,,
255,2025-01-09 16:22:01+00,2025-01-09 16:22:01+00,c7bcb61c-5da5-4a8a-b925-21cf75569826,471886,M,Florianópolis,Santa Catarina,,,
256,2025-01-09 16:22:06+00,2025-01-09 16:22:06+00,3ea8ee6b-5a4f-49e1-8bdb-c316a2898294,19000261,M,Florianópolis,Santa Catarina,,DevOps,Estagiário
257,2025-01-09 16:22:06+00,2025-01-09 16:22:06+00,3c132cf7-7fc8-40df-b7bb-2e7aeca3bb59,19000245,M,Florianópolis,Santa Catarina,,Outro,Executivo
258,2025-01-09 18:42:06+00,2025-01-09 18:42:06+00,9f93f728-0b30-44de-85a4-c96e74f8ff2c,19000811,M,Florianópolis,Santa Catarina,,Designer,Pleno
259,2025-01-09 18:52:05+00,2025-07-11 23:22:17.613+00,50ac67d0-e24d-4e9c-bd8f-d328125b83bf,18881213,F,Campo Limpo Paulista,São Paulo,Indústria de software,Marketing ou vendas,Sênior
260,2025-01-09 19:15:59+00,2025-07-16 23:01:47.747+00,00255c09-85f8-4e14-bafd-b2b1502f58a5,18892151,F,Curitiba,Paraná,"Fintech, banco ou área financeira",Desenvolvedor(a) back-end,Gerente
261,2025-01-09 19:16:48+00,2025-07-03 14:33:29.616+00,d5bab113-9047-4979-a702-d83da21d4241,14886421,F,Caxias do Sul,Rio Grande do Sul,Freelancer/Autônomo,,Junior
262,2025-01-09 19:16:48+00,2025-07-01 14:53:44.68+00,594aeaf2-40c5-49fa-b460-bf9434a9f7d0,18470066,F,Osasco,São Paulo,,,
263,2025-01-09 19:16:48+00,2025-07-17 00:01:40.301+00,4163adca-67b8-4a1c-b0c8-e75c70d2eda9,16222640,M,Alvorada,Rio Grande do Sul,Startup,Desenvolvedor(a) full-stack,Junior
264,2025-01-09 19:16:48+00,2025-07-03 18:19:06.721+00,7bf6dde1-a374-4185-b17d-82fb2eec324c,15562712,F,Blumenau,Santa Catarina,Software house,Desenvolvedor(a) back-end,Junior
265,2025-01-09 19:16:49+00,2025-07-18 14:43:48.267+00,e377886a-fc38-46c0-8916-2026df08d8db,15957501,M,Blumenau,Santa Catarina,Indústria de software,Desenvolvedor(a) full-stack,Junior
266,2025-01-09 19:16:49+00,2025-07-17 18:16:22.109+00,32077b38-458b-41a4-822e-babdea160ba0,3823812,F,Barueri,São Paulo,Indústria de software,Desenvolvedor(a) front-end,Pleno
267,2025-01-09 19:16:49+00,2025-07-04 10:23:34.175+00,38910643-ca62-4c0b-bc26-9daa7fe09af3,14070433,M,Guaramirim,Santa Catarina,Não sei responder,Desenvolvedor(a) full-stack,Não sei dizer
268,2025-01-09 19:16:49+00,2025-07-03 15:24:07.483+00,c4a5ec43-937e-41f8-8f3d-302b888a74d4,18901816,M,Curitiba,Paraná,Outros,Desenvolvedor(a) full-stack,Sênior
269,2025-01-09 19:16:50+00,2025-07-11 22:24:18.062+00,d7f97f76-ecc4-4e93-b656-00c91953a32b,1960963,M,Belo Horizonte,Minas Gerais,Outsourcing de desenvolvimento,Desenvolvedor(a) full-stack,Sênior
270,2025-01-09 19:16:50+00,2025-06-27 17:19:33.198+00,c3233caa-7af6-4cfc-bed7-f330e96a0273,18915087,M,Novo Hamburgo,Rio Grande do Sul,Startup,Desenvolvedor(a) full-stack,Pleno
271,2025-01-09 19:16:50+00,2025-01-09 19:16:50+00,179c055d-517b-4fea-81de-46aa0d69e1a8,16578715,M,Marília,São Paulo,Startup,Desenvolvedor(a) back-end,Sênior
272,2025-01-09 19:16:50+00,2025-07-05 13:57:56.926+00,22f59a60-6345-4419-a05a-8ae82e2673e0,1963427,M,Diadema,São Paulo,"Fintech, banco ou área financeira",Desenvolvedor(a) back-end,Pleno
273,2025-01-09 19:16:50+00,2025-01-09 19:16:50+00,65edc453-e058-46de-9dfc-65b2f895a950,2098917,M,São José,Santa Catarina,,Designer,Junior
274,2025-01-09 19:16:51+00,2025-06-27 11:58:22.742+00,fc462ad9-3ef1-4c4c-9883-65154114d072,14812678,F,Gaspar,Santa Catarina,,,Executivo
275,2025-01-09 19:16:51+00,2025-07-18 01:50:00.143+00,59e9989b-4f59-424a-be12-7377c13f9b0d,9737353,M,Pelotas,Rio Grande do Sul,Indústria de software,Desenvolvedor(a) full-stack,Pleno
276,2025-01-09 19:16:51+00,2025-07-17 13:13:00.08+00,605fea97-4b9f-4f5b-a32f-21c3b8bdb9dc,12177878,F,Curitiba,Paraná,Outsourcing de desenvolvimento,Desenvolvedor(a) back-end,Junior
277,2025-01-09 19:16:51+00,2025-07-17 01:25:35.569+00,b3a7fee2-ea60-464e-b4ba-84a084a70b09,18911623,M,Guará,Distrito Federal,Startup,DevOps,Sênior
278,2025-01-09 19:16:51+00,2025-06-28 14:49:17.587+00,0613a80d-caf6-4e17-b5f5-4b9d77e5db60,13911466,M,Guarapuava,Paraná,Indústria de software,Desenvolvedor(a) front-end,Pleno
279,2025-01-09 19:16:51+00,2025-07-07 17:48:34.561+00,bd3eca61-d4ab-41b5-87ff-a9bb40792a74,14657427,M,Carangola,Minas Gerais,,,
280,2025-01-09 19:16:51+00,2025-07-17 15:47:06.423+00,f2a79b03-0147-4978-aab1-d70092b2d94a,18942793,M,Curitiba,Paraná,"Fintech, banco ou área financeira",Desenvolvedor(a) full-stack,Pleno
281,2025-01-09 19:16:52+00,2025-07-03 14:58:44.141+00,ecf4e6e0-4f88-47fc-b8ee-fe1dcca2c7c4,15923461,M,Imperatriz,Maranhão,Startup,Desenvolvedor(a) front-end,Pleno
282,2025-01-09 19:16:52+00,2025-07-18 13:18:11.668+00,dbad48b1-88db-4619-bafd-66952ea1de9b,10348893,M,Imperatriz,Maranhão,Startup,Tech lead,Sênior
283,2025-01-09 19:16:52+00,2025-06-25 19:31:36.605+00,40fee056-f040-44d5-8fcf-9762e861c788,15548053,F,Santa Maria,Rio Grande do Sul,"Fintech, banco ou área financeira",Desenvolvedor(a) back-end,Junior
284,2025-01-09 19:16:52+00,2025-07-07 13:42:17.445+00,edc51b6b-e7cd-48d8-a290-9f8d9b9197b3,4524169,F,São Paulo,São Paulo,,,
285,2025-01-09 19:16:52+00,2025-07-18 15:09:54.704+00,bb189e13-80dc-4f99-b293-277055ef4820,278399,M,Macapá,Amapá,Startup,Product manager,Pleno
286,2025-01-09 19:16:52+00,2025-07-18 12:45:25.681+00,884357f6-2b71-4b4e-881d-bb8c875a9c58,15392209,M,Quatro Pontes,Paraná,Outros,Desenvolvedor(a) back-end,Pleno
287,2025-01-09 19:16:52+00,2025-07-03 14:40:31.197+00,89e68716-3a85-4aa3-9a99-99a47b76ee08,18901969,M,São Vicente,São Paulo,Agência digital ou similar,Desenvolvedor(a) front-end,Pleno
288,2025-01-09 19:16:52+00,2025-07-17 22:03:10.822+00,1aeddb22-185b-4a51-a05b-40bef2bc24a3,15345807,M,São Paulo,São Paulo,"Fintech, banco ou área financeira",Desenvolvedor(a) back-end,Outro
289,2025-01-09 19:16:52+00,2025-06-27 12:38:53.914+00,a7691aff-051a-44b8-92be-b1f158216b54,11026251,M,Curitiba,Paraná,Startup,Tech lead,Staff
290,2025-01-09 19:16:53+00,2025-06-26 21:25:16.227+00,9f3fd452-1af3-4461-8ad0-3753550542cf,18975932,M,Contagem,Minas Gerais,Software house,Desenvolvedor(a) full-stack,Pleno
291,2025-01-09 19:16:53+00,2025-03-25 13:32:52.431+00,cc361db0-3c6a-4c0e-8950-c955f482b476,15710463,M,Curitiba,Paraná,Outros,Desenvolvedor(a) full-stack,Pleno
292,2025-01-09 19:16:53+00,2025-01-09 19:16:53+00,e6f2be91-717e-4225-bc22-466a9839237d,16221632,M,Itu,São Paulo,,,
293,2025-01-09 19:16:53+00,2025-07-18 01:17:04.667+00,0a8028e3-27db-47f6-8751-d257e7a75a1e,881244,M,Campo Mourão,Paraná,"Fintech, banco ou área financeira",Desenvolvedor(a) full-stack,Junior
294,2025-01-09 19:16:53+00,2025-01-09 19:16:53+00,c1c5a39e-8dcc-4ede-95d7-4a76a0f11c37,15050165,M,Curitiba,Paraná,,,
295,2025-01-09 19:16:53+00,2025-07-03 18:01:28.879+00,48121fe9-957b-478f-a5dc-e765e16c88d4,4335825,M,Canoas,Rio Grande do Sul,Startup,Desenvolvedor(a) full-stack,Pleno
296,2025-01-09 19:16:53+00,2025-07-17 02:11:04.642+00,23ebeaab-c541-4b9d-b2af-63eb3e5a86aa,16027009,M,São Paulo,São Paulo,Indústria de software,Desenvolvedor(a) full-stack,Pleno
297,2025-01-09 19:16:54+00,2025-07-18 13:50:20.075+00,92469969-0948-4ab7-9a18-2bc6e2b4bbdf,16502616,M,Joinville,Santa Catarina,Indústria de software,,
298,2025-01-09 19:16:55+00,2025-06-26 23:34:14.349+00,bc28d5a6-2a99-4e5b-9a5d-88c9049991bf,14555655,M,São Paulo,São Paulo,"Fintech, banco ou área financeira",Desenvolvedor(a) back-end,Sênior
299,2025-01-10 00:22:06+00,2025-01-10 00:22:06+00,01ae54f4-21d8-437c-9b36-99b5d2e2e3b1,5157971,F,Florianópolis,Santa Catarina,,Desenvolvedor(a) back-end,Pleno
300,2025-01-10 14:37:05+00,2025-01-10 14:37:05+00,79ede326-c806-4a8d-a0b0-e5a7af4cf294,19004071,M,Florianópolis,Santa Catarina,,Educador(a),Executivo
301,2025-01-10 15:02:05+00,2025-06-26 19:26:20.202+00,a38745bb-4bf0-4ea6-b7b3-95c1786e182a,12711192,F,,,,,
302,2025-01-10 15:02:06+00,2025-07-17 17:42:18.597+00,212b589a-d5a9-481b-97e6-598f11f4921a,654801,F,Joinville,Santa Catarina,,,
303,2025-01-10 16:47:06+00,2025-01-10 16:47:06+00,752236a4-91fb-4817-a5f9-712e9255333f,6421690,F,Joinville,Santa Catarina,,Product manager,Gerente
304,2025-01-10 17:42:06+00,2025-01-10 17:42:06+00,1e47ae14-ca87-4d9e-ae4b-477220c15717,19004764,M,São José,Santa Catarina,,Cientista,Gerente
305,2025-01-10 17:57:05+00,2025-01-10 17:57:05+00,fd479512-520c-47d0-9650-51cc8443c94b,14070281,M,São José,Santa Catarina,,Cientista de dados ou machine learning,Junior
306,2025-01-10 19:47:06+00,2025-07-17 14:44:23.976+00,04048ef3-02f3-49f1-936f-b305095ed344,19005060,M,Curitiba,Paraná,Indústria de software,Desenvolvedor(a) back-end,Junior
307,2025-01-10 20:02:10+00,2025-01-10 20:02:10+00,2106f13a-497a-43e6-aadc-5abeb3de7ef5,19005110,M,Itapema,Santa Catarina,,,Executivo
308,2025-01-10 20:02:10+00,2025-01-10 20:02:10+00,0a3ce2cd-87bf-4e06-af36-2e517f9b9ea9,14070554,M,Itapema,Santa Catarina,,"Executivo sênior (C-Level, VP, etc)",Sênior
309,2025-01-10 20:02:10+00,2025-01-10 20:02:10+00,6809cb24-15c2-4fba-b4f0-f5be6f974c72,7780936,M,Itapema,Santa Catarina,,Estudante,Junior
310,2025-01-10 20:02:10+00,2025-01-10 20:02:10+00,97fa5a7c-d9ec-429b-bea6-a7c3f1336d17,19005122,M,Itapema,Santa Catarina,,Estudante,Junior
311,2025-01-10 20:17:06+00,2025-06-27 11:14:59.962+00,9638a934-da4b-4d0b-8f5e-2cb2ed52fda2,16517726,M,Joinville,Santa Catarina,Outros,Desenvolvedor(a) full-stack,Junior
312,2025-01-11 00:12:06+00,2025-06-17 14:51:16.922+00,52702582-3eb5-4c4d-b02f-a80a248fac01,4941177,F,Palhoça,Santa Catarina,Outros,Designer,Outro
313,2025-01-11 00:12:06+00,2025-06-17 15:02:35.771+00,e12e6cc5-3c8b-4540-a16a-4f3934dead84,14070732,M,Palhoça,Santa Catarina,Startup,Desenvolvedor(a) front-end,Sênior
314,2025-01-11 01:17:05+00,2025-05-17 12:37:38.245+00,969b8a88-8c78-4b7b-8c55-06304667b2cc,3862393,M,Palhoça,Santa Catarina,Software house,Desenvolvedor(a) full-stack,Pleno
315,2025-01-11 01:17:05+00,2025-07-05 02:06:49.232+00,2b02486d-c6c8-425d-bfeb-d66fbe9fbb5a,19005981,F,Palhoça,Santa Catarina,,,
316,2025-01-11 13:57:05+00,2025-01-11 13:57:05+00,2f7a1b32-933f-4c45-aaf4-8b94c3eb4fe1,16535125,F,Santo Amaro da Imperatriz,Santa Catarina,,,Junior
317,2025-01-11 23:52:06+00,2025-01-11 23:52:06+00,bdf57011-cc5c-46da-b274-8d8da3d67022,19007382,M,Jaraguá do Sul,Santa Catarina,Outros,Estudante,Não sei dizer
318,2025-01-12 04:02:05+00,2025-01-12 04:02:05+00,9bf535a3-e307-4f2b-96aa-68fa8cfceea4,16006964,M,Joinville,Santa Catarina,,Desenvolvedor(a) front-end,Junior
319,2025-01-12 23:17:04+00,2025-01-12 23:17:04+00,0e677a24-68eb-4d96-8045-899d41726e2d,19009611,F,,,,Analista de dados / business,Junior
320,2025-01-13 11:42:05+00,2025-07-07 14:49:55.068+00,d6621729-c049-4327-b908-4438ae573ffe,19010064,M,Curitiba,Paraná,Outros,Desenvolvedor(a) full-stack,Junior
321,2025-01-13 14:57:05+00,2025-01-13 14:57:05+00,9352cb37-8de7-44ad-ba75-b9d0c9e8b529,19010714,F,,,,,
322,2025-01-13 14:57:05+00,2025-01-13 14:57:05+00,7eb1a9b8-26a9-43bd-909c-885a5a1226db,16895418,M,Florianópolis,Santa Catarina,,Desenvolvedor(a) full-stack,Pleno
323,2025-01-13 15:52:05+00,2025-01-13 15:52:05+00,fc4caf42-c2d4-4cea-ad41-2396fc74a56c,188895,M,Joinville,Santa Catarina,,Engineering manager,Gerente
324,2025-01-13 16:07:05+00,2025-07-18 10:18:27.129+00,b5a11758-82ef-454f-a6d5-aa1164e55865,14070509,M,Joinville,Santa Catarina,,Tech lead,Pleno
325,2025-01-13 18:27:05+00,2025-01-13 18:27:05+00,03aacdda-723e-4383-ac89-14e2ad06e4b9,14487336,F,Florianópolis,Santa Catarina,,Desenvolvedor(a) full-stack,Pleno
326,2025-01-13 19:22:06+00,2025-01-13 19:22:06+00,e01ee695-1199-4626-a507-c1adcaef05ee,19011684,M,Florianópolis,Santa Catarina,,,
327,2025-01-14 06:22:06+00,2025-06-23 18:54:06.307+00,9b5b8393-fa9e-4426-a7e5-910bd6efd576,14070560,M,Tijucas,Santa Catarina,Outros,Desenvolvedor(a) full-stack,Junior
328,2025-01-14 14:22:05+00,2025-01-14 14:22:05+00,cc656642-f122-42e4-a6f5-5e47d3a8af5c,18603572,M,Florianópolis,Santa Catarina,,Desenvolvedor(a) full-stack,Pleno
329,2025-01-14 14:27:01+00,2025-01-14 14:27:01+00,aa480bc4-7a38-43a3-8500-2746a0d021b2,19014234,F,Florianópolis,Santa Catarina,,,Outro
330,2025-01-15 02:37:05+00,2025-07-18 20:00:37.366+00,352d9035-c680-4080-88ef-5e92c70927ab,19017025,M,Curitiba,Paraná,Startup,"Executivo sênior (C-Level, VP, etc)",Executivo
331,2025-01-15 14:07:05+00,2025-01-15 14:07:05+00,69a982d7-a89a-4978-914f-280411b7d74d,14827012,M,Joinville,Santa Catarina,,,
332,2025-01-15 20:47:06+00,2025-01-15 20:47:06+00,a05366ee-5939-4bd1-90ca-e8818318a5bb,16056955,M,Joinville,Santa Catarina,,,
333,2025-01-16 13:57:06+00,2025-01-16 13:57:06+00,1eaf6a83-8dca-4bc8-9839-1c2a6c36e26a,4043932,M,Florianópolis,Santa Catarina,,,
